nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
21982,718,6862,19085
21249,538,2365,14405
21249,499,1925,13501
21249,507,1873,13560
21249,507,1840,13543
21249,525,1809,13766
21249,503,1868,13530
21249,509,1862,13583
21249,504,1813,13468
21249,509,1820,13552
21249,503,1951,13612
21249,511,1913,13617
21249,503,1789,13454
21249,526,1801,13769
21249,506,1852,13563
21249,508,1826,13550
21249,501,1863,13511
21249,506,1818,13530
21249,502,1822,13485
21249,509,1931,13645
21249,506,1815,13522
18085,510,1890,13653
18085,524,1798,13715
18085,507,1867,13562
18085,504,1808,13499
18085,505,1808,13506
18085,505,1924,13624
18085,504,1906,13559
18085,505,1902,13612
18085,522,1857,13755
18085,490,1826,13325
18085,528,1891,13812
18085,505,2037,13735
18085,506,1882,13588
18085,501,1833,13503
18085,508,1957,13666
18085,503,1821,13501
18085,503,1814,13489
18085,524,1825,13784
18085,511,1927,13652
18085,505,1790,13480
18329,513,1866,13681
18329,496,1821,13377
18329,507,1846,13531
18329,504,1817,13503
18329,504,1774,13480
18329,529,1804,13796
18329,503,1812,13490
18329,504,1783,13475
18329,506,1864,13557
18329,505,1858,13546
18329,504,1877,13548
18329,506,1841,13515
18329,508,1862,13598
18329,514,1858,13610
18329,523,1876,13739
18329,506,1799,13513
18329,505,1812,13505
18329,502,1766,13439
18329,505,1960,13612
18329,507,1784,13524
18078,514,1934,13727
18078,503,1841,13478
18078,524,1841,13757
18078,504,1765,13457
18078,505,1822,13520
18078,505,1779,13480
18078,503,1845,13512
18078,505,1816,13500
18078,505,1812,13498
18078,520,1823,13715
18078,517,1933,13718
18078,503,1815,13486
18078,506,1786,13499
18078,503,1818,13500
18078,503,1832,13495
18078,504,1813,13512
18078,509,1814,13558
18078,522,1818,13721
18078,514,1854,13620
18078,502,1820,13465
17834,515,1931,13738
17834,498,1795,13379
17834,506,1843,13519
17834,503,1789,13466
17834,525,1839,13726
17834,514,1861,13681
