nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
21738,707,5963,17995
21738,520,2254,14023
21738,529,2051,13840
21738,520,1901,13632
21738,512,1876,13565
21738,509,1989,13635
21738,517,1921,13652
21738,514,1898,13570
21738,513,1819,13530
21738,533,1890,13845
21738,515,1931,13648
21738,516,1945,13636
21738,512,1881,13572
21738,512,2026,13704
21738,515,1991,13688
21738,513,1910,13586
21738,515,1950,13666
21738,514,1886,13604
21738,537,1879,13881
21738,515,2020,13691
21738,510,1885,13547
18085,515,1952,13681
18085,515,1844,13524
18085,516,1899,13604
18085,511,1924,13608
18085,511,1892,13577
18085,535,1869,13848
18085,516,1933,13624
18085,509,1942,13599
18085,516,1898,13627
18085,512,1948,13623
18085,516,1916,13606
18085,533,1851,13810
18085,519,2006,13722
18085,513,1854,13559
18085,512,1966,13614
18085,507,1843,13485
18085,518,1920,13673
18085,515,1829,13566
18085,509,1969,13612
18085,515,1832,13557
18085,516,1967,13736
18085,532,1888,13814
18085,516,1955,13645
18085,511,1865,13550
18085,512,1835,13518
18085,514,1864,13576
18085,514,1868,13576
18085,512,1806,13515
18085,509,1870,13829
18085,537,1952,13640
18085,514,1892,13572
18085,510,1847,13508
18085,516,1864,13593
18085,514,2066,13738
18085,517,1955,13654
18085,513,1857,13571
18085,535,1847,13827
18085,512,1928,13631
18085,512,1899,13568
18085,512,1817,13522
18085,523,1886,13704
18085,494,1871,13625
18085,522,1901,13367
18085,513,1862,13565
18085,535,1933,13920
18085,514,1843,13556
18085,511,1887,13554
18085,512,1828,13531
18085,510,1888,13545
18085,518,1898,13628
18085,514,1950,13630
18085,513,1835,13538
18085,536,1894,13868
18085,513,1897,13619
18085,514,1883,13588
18085,511,1827,13507
18085,508,1838,13488
18085,514,1870,13573
18085,514,1916,13611
18085,510,1886,13557
17834,519,2070,13840
17834,534,1911,13847
17834,513,1912,13590
17834,510,1960,13635
17834,514,1902,13622
17834,510,1878,13547
17834,534,1971,13911
17834,491,1865,13296
17834,537,1849,13865
17834,513,1932,13629
17834,514,1997,13695
17834,510,1984,13645
17834,513,1926,13628
17834,515,1919,13627
17834,513,1933,13619
17834,511,1966,13639
17834,538,1945,13961
17834,513,1863,13557
17834,515,2125,13815
17834,508,1837,13491
17840,520,1968,13750
17840,512,1952,13601
17840,514,1902,13593
17840,507,1869,13511
17840,516,1868,13904
17840,525,1857,13431
17840,523,1981,13788
17840,512,1847,13548
17840,510,1854,13504
17840,514,2066,13760
17840,530,1965,13844
17840,496,1824,13319
17840,537,2101,14099
17840,514,1905,13607
17840,514,1942,13630
17840,510,1862,13529
17840,513,1836,13546
17840,503,1886,13788
17840,522,1904,13389
17840,510,1875,13555
17840,521,1986,13790
17840,531,1954,13850
17840,507,1976,13586
17840,519,1905,13680
17840,512,1937,13615
17840,514,1934,13661
17840,507,1921,13827
17840,521,1901,13389
17840,512,1900,13595
17840,535,2042,14012
17840,513,1958,13640
17840,512,2005,13691
17840,510,2178,13837
17840,516,2237,13963
17840,515,2172,13852
17840,514,1902,13613
17840,534,1885,13849
17840,513,1837,13555
17840,504,1974,13552
17840,521,1906,13712
17840,515,1892,13643
17840,507,2001,13603
17840,508,1901,13833
17840,522,1836,13333
17840,529,1914,13841
17840,513,1913,13620
17840,513,1925,13597
17840,512,1881,13581
17840,510,1847,13531
17840,515,1948,13652
17840,516,1888,13607
17840,525,1905,13772
17840,519,1912,13705
17840,516,1996,13686
17840,512,1910,13604
17840,512,1832,13522
17840,512,1813,13515
17840,511,1842,13520
17840,512,1886,13570
17840,555,6104,17412
17823,639,20476,32738
17823,593,20650,32097
17823,832,19256,31049
17823,710,17027,28722
17823,586,20931,32629
17823,669,19798,31566
17823,890,15601,27897
17823,824,10064,21605
17823,698,18047,28923
17823,616,51148,63142
17823,662,37280,49550
17823,806,19200,30886
17823,631,20852,32513
17823,655,20594,32349
17823,665,20886,32515
17823,659,20560,32412
17823,1039,13968,26404
17823,665,19754,31477
17823,655,20394,32012
17823,622,20899,32694
17811,676,20671,32508
17811,1179,16085,28056
17811,701,11797,23034
17811,651,19784,31519
17811,678,20638,32310
17811,641,20339,32034
17811,638,20509,32186
17811,660,20316,32783
17811,606,19621,31286
17811,583,21526,33196
17811,591,22765,34529
17811,876,22644,34725
17811,1082,14372,26083
21710,779,21045,31583
32165,881,20663,24352
32165,1039,20328,24691
42837,1046,20357,24961
42837,959,20271,24472
46700,942,20356,24409
46700,1115,20110,24427
48403,980,20044,23998
48403,1029,20416,24894
48865,792,20046,24050
48865,1203,18353,22691
49383,1869,13649,18402
49383,1122,15156,19094
49383,1343,17858,22052
49383,687,7942,12361
49376,804,17520,21772
49376,1322,8254,12385
49140,595,13312,17453
49140,615,19530,23637
49108,596,20431,24345
49108,610,20687,24873
49101,598,21299,25104
49101,794,23125,27259
49108,990,20656,25294
49108,928,20462,24144
49108,983,20188,24650
49108,998,20321,24155
49108,1108,21330,25867
49108,993,20511,24800
49108,971,20576,24677
49108,930,19710,24094
51748,743,20978,24724
51748,947,20412,24807
50073,907,20443,24830
50073,933,20305,24188
49351,995,20480,24808
49351,1006,20657,24608
58027,841,20385,24898
58027,973,20308,24425
70307,595,20013,24098
70307,645,18466,22503
88498,654,17936,22113
88498,660,16545,20658
102853,639,16768,20698
102853,655,16166,20313
119735,654,14056,18051
119735,658,14211,18452
135389,676,11953,16275
135389,673,10033,14036
138756,666,5785,9915
138756,659,4364,8471
137139,660,4482,8494
137139,664,4277,8403
136898,677,4343,8500
136898,634,4395,8310
136417,685,4379,8613
136417,654,4367,8369
135454,658,4265,8298
135454,722,4430,8655
134757,646,4302,8294
134757,694,4443,8573
135454,672,4244,8383
135454,653,4450,8444
139211,656,13312,17237
139211,665,16897,21145
143443,650,17513,21440
143443,644,17032,21102
144377,647,14454,18492
144377,645,11608,15687
144859,679,11671,16080
144859,657,11673,15736
144335,641,11705,15700
144335,691,8563,12669
143203,655,7988,12030
143203,667,7777,11937
143470,668,7823,12055
143470,644,7730,11598
143683,676,7751,12073
143683,650,7417,11352
139959,679,4258,8495
139959,665,4319,8380
137139,649,4317,8282
137139,693,4313,8492
136442,662,4277,8337
136442,692,4336,8502
137139,652,4325,8247
137139,674,4193,8400
137138,645,4240,8421
137138,668,4107,8023
133859,685,3806,7994
133859,677,3774,7862
133859,653,3776,7758
133859,691,3673,7884
131476,653,3838,7814
131476,669,3767,7856
