nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
21743,741,6169,15606
21743,532,2406,14449
21743,505,2268,13804
21738,523,2407,14254
21738,530,2342,14192
21738,499,2364,13917
21738,531,2433,14264
21738,521,2455,14287
21738,496,2378,13853
21738,529,2311,14223
21738,527,2447,14262
21738,504,2414,14011
21738,519,2381,14131
21738,511,2477,14127
21738,527,2409,14220
21738,519,2327,14134
21738,504,2174,13731
21738,518,2162,13962
21738,508,2386,13973
21738,524,2337,14189
21738,525,2372,14212
21738,515,2347,14105
21738,514,2214,13832
21738,499,2071,13631
21738,526,2137,13987
21738,522,2101,13952
21738,502,2246,13778
21738,520,2158,13979
21738,503,2290,14172
21738,511,2294,13734
21738,538,2229,14199
21982,519,2258,14029
21982,510,2350,13946
21982,509,2374,14040
21982,516,2403,14104
21982,532,2422,14363
21982,511,2134,13822
21982,510,2129,13803
21982,518,2324,14065
21982,510,2279,13951
21982,513,2192,13891
21982,511,2198,13887
21982,516,2315,14027
21982,513,2309,14308
21982,535,2207,13880
21982,511,2263,13949
21982,518,2321,14041
21982,509,2393,14073
21982,509,2366,14030
21982,514,2284,13998
21982,516,2418,14103
18079,520,2417,14198
18079,533,2417,14343
18079,511,2332,13995
18079,515,2397,14113
18079,511,2452,14128
18079,515,2307,14040
18079,509,2326,13981
18079,529,2362,14263
18079,518,2348,14114
18079,513,2320,14042
18079,512,2207,13904
18079,514,2220,13927
18079,510,2165,13824
18079,514,2255,13971
18079,511,2238,13914
18079,531,2328,14219
18079,519,2160,13950
18079,511,2128,13809
18079,514,2237,13947
18079,513,2336,14034
18085,521,2426,14211
18085,506,2386,13964
18085,511,2397,14077
18085,517,2356,14065
18085,512,2340,14038
18085,535,2241,14198
18085,515,2222,13945
18085,518,2329,14051
18085,512,2414,14090
18085,507,2371,14026
18085,512,2350,14046
18085,514,2322,14031
18085,516,2233,13955
18085,536,2066,14050
18085,517,2291,13982
18085,512,2272,13912
18085,515,2228,13944
18085,512,2354,14035
18085,511,2321,14007
18085,515,2396,14108
17834,523,2383,14190
17834,528,2300,14165
17834,513,2317,14024
17834,515,2204,13911
17834,511,2092,13785
17834,507,2202,13859
17834,512,2122,13816
17834,515,2428,14130
17834,536,2262,14250
17834,513,2070,13736
17834,512,2250,13934
17834,516,2068,13801
17834,504,2183,13773
17834,520,2352,14141
17834,512,2323,14001
17834,516,2302,14026
17834,513,2366,14067
17834,533,2271,14236
17834,512,2295,13997
17834,513,2213,13894
17834,520,2312,14087
17834,507,2252,13854
17834,511,2188,13885
17834,512,2139,13825
17834,538,2188,14199
17834,509,2259,13923
17834,513,1940,13649
17834,514,2273,13952
17834,513,2081,13787
17834,512,2186,13884
17834,511,2131,13827
17834,512,2404,14093
17834,529,2252,14134
17834,524,2287,14119
17834,508,2300,13966
17834,514,2337,14038
17834,514,2301,13981
17834,510,2266,13954
17834,510,2236,13892
17834,529,2234,14135
17834,506,2247,13871
17834,531,2168,14068
17834,508,2342,13994
17834,518,2439,14168
17834,515,2399,14108
17834,505,2261,13873
17834,513,2305,14025
17834,516,2307,14033
17834,535,2293,14278
17834,510,2223,13914
17834,511,2212,13894
17834,516,2266,13975
17834,512,2235,13923
17834,510,1977,13646
17834,512,2260,13947
17834,514,2168,13876
17834,528,2294,14190
17834,519,2300,14088
17834,512,2211,13902
17834,516,2336,14065
17840,516,2301,14032
17840,526,2123,13915
17840,500,2147,13694
