nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
17834,699,5508,17377
17834,492,1741,13552
17834,480,1572,13251
17834,482,1552,13278
17834,479,1596,13284
17834,481,1512,13221
17834,480,1576,13264
17834,479,1494,13201
17834,493,1616,13462
17834,480,1532,13245
17352,472,1597,13190
17352,488,1612,13415
17352,479,1613,13291
17352,491,1877,13597
17352,480,1641,13334
17352,481,1556,13272
17352,492,1568,13403
17352,479,1567,13267
17352,479,1583,13277
17352,480,1540,13248
17107,483,1627,13353
17107,477,1499,13172
17107,480,1414,13108
17107,480,1453,13159
17107,492,1544,13379
17107,480,1540,13245
17107,481,1533,13227
17107,480,1398,13109
17107,479,1475,13168
17107,480,1528,13242
17358,484,1553,13294
17358,476,1541,13196
17358,480,1526,13371
17358,494,1590,13303
17358,479,1588,13275
17358,481,1566,13280
17358,480,1549,13242
17358,480,1433,13142
17358,479,1511,13211
17358,480,1519,13226
17352,486,1481,13236
17352,476,1555,13209
17352,491,1511,13337
17352,481,1556,13277
17352,480,1551,13249
17352,480,1696,13374
17352,481,1621,13329
17352,479,1606,13306
17352,481,1616,13321
17352,492,1603,13448
17352,471,1631,13227
17352,489,1532,13336
17352,480,1583,13283
17352,480,1654,13351
17352,481,1598,13312
17352,479,1615,13302
17352,482,1610,13316
17352,490,1609,13440
17352,482,1563,13285
17352,477,1467,13144
17352,485,1509,13266
17352,476,1370,13015
17352,480,1422,13131
17352,481,1501,13211
17352,481,1603,13303
17352,491,1587,13428
17352,482,1581,13289
17352,478,1543,13240
17352,480,1463,13161
17352,478,1443,13134
17352,480,1496,13196
17352,481,1506,13216
17352,481,1410,13123
17352,492,1527,13358
17352,480,1576,13292
17352,480,1528,13219
17352,477,1575,13239
17352,483,1568,13307
17352,479,1565,13260
17352,480,1462,13173
17352,485,1561,13309
17352,486,1524,13278
17352,484,1422,13168
17352,482,1588,13290
17352,479,1401,13084
17352,480,1501,13212
17352,481,1431,13134
17352,485,1626,13333
17352,479,1901,13592
17352,475,1644,13388
17352,491,1708,13502
17352,480,1613,13324
17352,479,1661,13344
17352,484,1742,13468
17352,479,1562,13254
17352,481,1599,13309
17352,480,1677,13360
17352,488,1636,13445
17352,484,1622,13373
17352,461,1647,13157
17352,494,1690,13607
17352,481,1572,13285
17352,480,1490,13195
17352,480,1558,13264
17352,479,1714,13396
17352,480,1541,13255
17352,479,1610,13297
17352,480,1586,13295
17352,491,1692,13528
17352,465,1678,13269
17352,490,1685,13490
17352,479,1622,13322
17352,481,1528,13224
17352,483,1758,13468
17352,479,1638,13476
17352,493,1613,13313
17352,480,1614,13307
17352,479,1616,13313
17352,480,1561,13268
17352,474,1479,13175
17352,484,1535,13238
17352,479,1319,13020
17352,491,1461,13282
17352,480,1488,13187
17352,481,1572,13275
17352,480,1495,13202
17352,480,1605,13301
17352,480,1622,13324
17352,478,1607,13299
17352,485,1559,13344
17352,486,1619,13383
17352,480,1462,13169
17352,482,1626,13324
17352,481,1678,13382
17352,479,1650,13349
17352,482,1560,13280
17352,480,1558,13253
17352,481,1483,13197
17352,478,1571,13255
17352,483,1521,13275
17352,490,1672,13469
17352,479,1606,13298
17352,482,1442,13159
17352,478,1444,13127
17352,481,1614,13321
17352,479,1494,13192
17352,480,1561,13268
17352,479,1504,13191
17352,492,1571,13420
17352,471,1507,13117
17352,488,1353,13140
17352,479,1491,13185
17352,480,1425,13135
17352,479,1737,13422
17352,481,1676,13391
17352,490,1641,13453
17352,479,1533,13229
17352,480,1594,13297
17352,480,1561,13262
17352,483,1628,13377
17352,478,1664,13318
17352,479,1605,13298
17352,493,1437,13278
17352,479,1591,13292
17352,479,1523,13215
17352,478,1498,13160
17352,483,1384,13123
17352,480,1507,13209
17352,479,1650,13350
17352,485,1496,13263
17352,474,1681,13314
17352,492,1648,13496
17352,481,1701,13393
17352,482,1709,13422
17352,479,1700,13391
17352,481,1631,13334
17352,480,1684,13380
17352,487,1597,13397
17352,472,1654,13250
17352,485,1568,13342
17352,487,1639,13413
17352,479,1635,13335
17352,480,1542,13236
17352,477,1382,13035
17352,485,1667,13414
17352,489,1608,13402
17352,472,1615,13218
17352,490,1601,13433
17352,480,1669,13367
17352,472,1528,13149
17352,487,1464,13246
17352,480,1438,13150
17352,478,1649,13332
17352,483,1789,13501
17352,480,1683,13517
17352,481,1453,13169
17352,492,1540,13222
17352,481,1788,13499
17352,478,1627,13309
17352,483,1606,13361
17352,519,7061,18718
17352,570,20406,32148
17352,719,19023,30723
17352,660,19239,30978
17352,746,12811,24454
17352,600,44085,55946
17352,676,19998,31578
17352,621,20448,32185
17352,788,17385,29384
17323,614,19689,31365
17323,608,20581,32403
17323,887,14410,26101
17323,620,19889,31649
17323,600,20394,32083
17323,582,20070,31735
