nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
17828,890,10091,22510
17828,501,2613,14458
17828,480,1989,13678
17828,482,2236,13928
17828,481,1942,13652
17828,479,1965,13651
18561,498,2085,13854
18561,489,2187,13986
18561,481,2084,13801
18561,480,2160,13851
18561,481,2090,13805
18561,479,2156,13844
18561,494,2080,13791
18561,481,2071,13766
18561,480,1821,13530
18561,493,2060,13893
18072,473,1908,13524
18072,488,1847,13631
18072,494,1992,13707
18072,479,1920,13605
18072,482,1909,13627
18072,480,1947,13635
18072,490,1875,13695
18072,483,1916,13648
18072,493,2055,13765
18072,479,1933,13624
18072,485,1788,13563
18072,475,1782,13414
18072,489,1824,13629
18072,471,1827,13415
18072,504,1883,13731
18072,484,1885,13596
18072,479,1933,13626
18072,481,1902,13613
18072,479,1854,13536
18072,482,1884,13584
18805,497,1981,13732
18805,477,1934,13590
18805,493,1986,13841
18805,481,2038,13738
18805,479,1986,13689
18805,481,2094,13804
18805,492,2068,13765
18805,481,2221,13931
18805,480,1900,13601
18805,481,2021,13725
18072,483,2050,13798
18072,477,2052,13711
18072,505,1969,13824
18072,480,2056,13745
18072,480,2037,13740
18072,482,2213,13919
18072,478,2121,13793
18072,481,2128,13834
18072,492,2223,13919
18072,496,2200,14059
18072,473,2128,13734
18072,489,2084,13893
18072,480,1994,13696
18072,481,2123,13837
18072,492,2104,13796
18072,481,2177,13877
18072,480,1958,13654
18072,493,1958,13815
18072,480,2154,13849
18072,482,2175,13876
18317,485,2180,13802
18317,487,2095,13863
18317,481,2065,13778
18317,479,2087,13783
18317,479,1954,13654
18317,495,1954,13817
18317,492,2050,13747
18317,480,2126,13833
18317,479,2083,13774
18317,480,1975,13670
17828,485,1890,13652
17828,476,2038,13686
17828,502,2154,13963
17828,484,2084,13824
17828,477,2000,13657
17828,485,1910,13658
17828,477,1840,13502
17828,484,1972,13718
17828,493,2061,13764
17828,480,1955,13657
18072,484,1858,13623
18072,475,1846,13633
18072,489,1799,13456
18072,483,1814,13555
18072,488,1897,13555
18072,486,2049,13805
18072,476,2063,13716
18072,485,2007,13756
18072,480,1942,13636
18072,493,2083,13925
18317,486,2095,13704
18317,489,1977,13787
18317,480,1989,13691
18317,480,1957,13651
18317,481,1843,13545
18317,480,1983,13670
18317,494,1963,13672
18317,482,1998,13698
18317,495,2008,13871
18317,480,1987,13675
18078,472,1960,13713
18078,490,2031,13678
18078,493,1984,13693
18078,479,1853,13547
18078,481,1798,13510
18078,480,2003,13692
18078,482,1942,13665
18078,493,1954,13789
18078,480,1944,13644
18078,482,2047,13744
17340,486,1879,13641
17340,475,1859,13472
17340,481,1925,13630
17340,481,1896,13751
17340,492,1899,13591
17340,484,2086,13794
17340,480,2121,13814
17340,481,2101,13807
17340,482,1927,13631
17340,480,1971,13674
17340,485,1924,13697
17340,487,1906,13688
17340,480,2074,13767
17340,482,2142,13850
17340,480,1969,13665
17340,483,2148,13846
17340,479,1986,13679
17340,479,1917,13615
17340,491,1840,13671
17340,482,1990,13696
17346,473,1855,13607
17346,491,1835,13494
17346,478,1852,13531
17346,480,1961,13660
17346,491,2012,13847
17346,494,2447,14154
17346,480,1936,13636
17346,481,1832,13544
17346,482,1809,13526
17346,481,1874,13576
17590,480,1791,13498
17590,479,1865,13536
17590,481,1846,13550
17590,482,1897,13620
17590,480,1755,13469
17590,494,1876,13727
17590,481,1764,13460
17590,479,1768,13450
17590,480,1765,13465
17590,482,1866,13598
17584,484,1892,13620
17584,477,1817,13478
17584,479,1825,13520
17584,493,1798,13658
17584,479,1865,13559
17584,481,2041,13749
17584,478,1930,13620
17584,481,1874,13581
17584,478,1687,13377
17584,481,1763,13471
17584,484,1965,13717
17584,488,1800,13602
17584,480,1721,13431
17584,480,1823,13540
17584,479,1890,13589
17584,482,1884,13591
17584,475,1736,13392
17584,486,1783,13526
17584,498,2064,13771
17584,493,1981,13809
17590,472,2002,13593
17590,490,1949,13745
17590,481,1895,13601
17590,480,1871,13567
17590,481,1890,13609
17590,480,2095,13787
17590,481,1852,13558
17590,493,1951,13791
17590,481,1923,13635
17590,480,1858,13548
17590,484,1827,13583
17590,476,1790,13438
17590,481,1834,13552
17590,477,1942,13619
17590,481,1900,13609
17590,492,1980,13815
17590,491,2579,14237
17590,485,1897,13646
17590,481,1814,13523
17590,480,1835,13516
17340,486,1862,13622
17340,476,1855,13497
17340,480,1922,13788
17340,492,2000,13692
17340,508,7329,18751
17340,565,21445,33153
17340,770,18718,30501
17340,604,19632,31701
17340,651,17148,28874
17340,580,43892,55574
17550,687,22930,34711
17550,635,20590,32207
17550,702,21023,32692
28754,947,21203,29845
