nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
21018,735,6635,18563
21018,501,2130,13684
21018,514,2019,13694
21018,520,1882,13607
21018,533,1916,13848
21018,514,1858,13556
21018,511,1835,13502
21018,516,1875,13593
21018,511,2006,13680
21018,516,2005,13722
21018,512,2018,13690
21018,535,1992,13899
21018,522,1948,13744
21018,512,1914,13614
21018,509,1993,13649
21018,515,1967,13683
21018,527,1935,13805
21018,498,1957,13451
21018,511,1901,13593
17840,525,1928,13754
17840,527,1950,13799
17840,515,1777,13496
17840,511,1937,13606
17840,515,1970,13659
17840,504,1977,13874
17840,520,1920,13411
17840,515,1886,13590
17840,517,1925,13919
17840,537,1995,13676
17840,513,1869,13570
17840,515,1984,13684
17840,520,1904,13650
17840,509,1857,13514
17840,516,1795,13503
17840,506,1991,13615
17840,539,1879,13877
17840,515,1950,13666
17840,513,1803,13496
17840,518,1999,13686
18085,522,2055,13839
18085,506,1868,13445
18085,515,1905,13615
18085,512,1860,13531
18085,538,1744,13731
18085,515,1811,13514
18085,511,1664,13358
18085,514,1855,13549
18085,518,1812,13508
18085,512,1697,13379
18085,528,1680,13570
18085,495,1803,13282
18085,519,1838,13562
18085,537,1850,13833
18085,518,1967,13652
18085,511,1708,13376
18085,515,1788,13485
18085,513,1620,13322
18085,511,1763,13449
18085,513,1840,13530
17601,526,2013,13826
17601,521,1841,13628
17601,523,1879,13671
17601,512,1906,13586
17601,514,1835,13526
17601,516,1719,13447
17601,511,1891,13576
17601,508,1855,13478
17601,518,1887,13917
17601,545,2043,13718
17601,515,1854,13561
17601,514,1881,13560
17601,514,1910,13590
17601,513,1881,13573
17601,514,1837,13548
17601,510,1903,13566
17601,515,1759,13470
17601,539,1694,13687
17601,513,1801,13488
17601,512,1804,13492
17601,516,1772,13518
17601,511,1918,13563
17601,513,1666,13350
17601,511,1706,13374
17601,518,1815,13538
17601,536,1817,13772
17601,516,1727,13450
17601,510,1737,13409
17601,515,1775,13459
17601,512,1820,13513
17601,512,1742,13426
17601,515,1784,13478
17601,517,1783,13520
17601,514,1861,13558
17601,536,1863,13846
17601,507,1878,13513
17601,517,1735,13460
17601,510,1767,13426
17601,514,1821,13538
17601,509,1768,13426
17595,524,1918,13732
17595,553,2078,13967
17595,514,2036,13704
17595,514,1852,13563
17595,519,1816,13528
17595,510,1848,13509
17595,511,1757,13439
17595,517,2034,13750
17595,534,1849,13763
17595,518,1854,13621
17595,515,1794,13522
17595,512,1864,13547
17595,511,1937,13553
17595,518,1710,13477
17595,512,1794,13440
17595,515,1800,13522
17595,519,1799,13513
17595,535,1792,13749
17595,512,1873,13556
17595,514,1798,13512
17595,516,1854,13601
17595,510,1733,13363
17595,509,1781,13414
17595,520,1764,13558
17595,511,1822,13479
17595,534,1755,13721
17595,514,1752,13456
17595,514,1975,13675
17595,518,1885,13598
17595,513,1703,13392
17595,510,1772,13438
17595,514,1590,13298
17595,514,1650,13341
17595,538,1715,13706
17595,509,1715,13368
17595,515,1810,13535
17595,515,1813,13510
17595,512,1860,13534
17595,512,1769,13453
17595,513,1858,13564
17601,523,1915,13711
17601,505,1780,13684
17601,538,1913,13579
17601,513,1788,13498
17601,515,1879,13577
17601,510,1799,13481
17601,510,1787,13457
17601,517,1727,13446
17601,516,1724,13428
17601,514,1775,13495
17601,531,1937,13842
17601,515,1800,13514
