nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
21254,749,5884,18134
21254,533,2244,14082
21254,501,2046,13573
21254,598,2721,14603
21254,525,2260,13809
21254,537,2038,13862
21254,524,2026,13828
21254,514,2063,13632
21254,518,2013,13790
21254,540,2009,13947
21254,494,2048,13533
21254,537,2021,13949
21254,517,2049,13803
21254,508,2061,13641
21249,524,2027,13878
21249,523,2065,13801
21249,511,2081,13733
21249,507,2008,13578
21249,523,2036,13862
21249,531,2030,13878
21249,505,2048,13656
21249,527,2059,13869
21494,525,2030,13872
21494,502,1959,13447
21494,522,2062,13885
21494,505,2030,13600
21249,526,2067,13920
21249,529,2047,13898
21249,499,2042,13548
21249,525,2025,13850
21249,520,2071,13846
21249,523,2145,13887
21249,508,2043,13588
21249,543,2007,14029
21249,516,1955,13640
21249,517,2001,13720
21249,513,2019,13680
21249,517,1994,13709
21249,513,1980,13671
21249,526,2006,13805
21249,510,2036,13657
21249,518,2020,13738
21249,538,2034,13975
21249,510,2020,13668
21249,517,2046,13762
21249,507,2047,13665
21249,521,1986,13754
21249,510,2052,13673
21249,522,2048,13835
21249,517,2057,13765
17595,516,2040,13777
17595,538,2012,13953
17595,539,2684,14075
17595,585,4757,16619
17595,527,2010,13864
17595,516,1993,13663
17595,513,2027,13713
17595,517,1954,13679
17595,535,2027,13976
17595,520,2010,13750
17595,514,2014,13702
17595,513,2025,13702
17595,513,1978,13642
17595,518,1996,13735
17595,514,2055,13711
17595,517,2023,13756
17595,512,2018,13695
17595,539,2028,14013
17595,512,1987,13674
17595,514,1961,13696
17595,518,2019,13789
17595,510,2018,13622
17595,512,1876,13547
17595,534,2003,13896
17595,496,1999,13503
17595,537,2022,13994
17595,515,1975,13684
17595,513,1967,13680
17595,514,2002,13692
17595,514,2007,13688
17595,514,1957,13655
17595,532,1993,13899
17595,499,2016,13517
17595,535,2020,13976
17595,513,1976,13687
17595,520,2025,13738
17595,505,2002,13590
17595,520,2005,13774
17595,514,1996,13699
17595,512,2003,13699
17351,525,2043,13873
17351,527,2046,13874
17351,517,2022,13758
17351,513,2020,13720
17351,512,2031,13719
17351,521,2038,13795
17351,506,2003,13596
17351,517,1989,13731
17351,513,2009,13684
17351,537,2010,13989
17351,517,2006,13739
17351,514,1952,13676
17351,511,1957,13647
17351,513,1988,13669
17351,511,2039,13690
17351,514,2012,13725
17351,512,2050,13748
17351,535,2009,13957
17351,516,1911,13658
17351,513,1992,13691
17351,498,2054,13565
17351,534,1944,13857
17351,509,2026,13666
17351,516,1871,13575
17351,513,1981,13697
17351,534,2051,13960
17351,498,2007,13786
17351,536,1884,13579
17351,512,1980,13666
17351,514,2034,13728
17351,517,1996,13701
17351,514,2032,13737
17351,532,2067,13964
17351,495,2023,13495
17351,537,2033,14014
17351,515,1983,13702
17351,512,1999,13694
17351,511,2036,13679
17351,515,1962,13692
17351,517,2022,13739
17351,520,2029,13786
17351,527,1939,13768
17351,519,1982,13738
17351,514,1962,13671
17351,512,1901,13587
17351,514,1999,13687
17351,514,1813,13524
17351,516,2040,13751
17351,511,1975,13664
17351,514,2020,13716
17351,510,2001,13679
17351,538,1952,13952
17351,514,1993,13693
17351,505,1975,13568
17351,521,1968,13743
17351,515,1993,13689
17351,514,2004,13713
17351,517,2072,13772
17351,512,2041,13723
17351,512,2005,14020
17351,520,2006,13528
