nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
67773,686,4966,8667
67773,555,1885,6032
67773,518,1769,5719
67773,555,1789,5877
67773,544,1673,5827
67773,539,1751,5829
67773,520,1585,5597
67773,550,1734,5834
67773,518,1491,5492
67773,543,1618,5715
67773,543,1570,5706
67773,523,1778,5735
67773,544,1508,5639
67773,543,1729,5825
67773,519,1603,5600
67773,548,1731,5813
67773,517,1659,5663
67773,550,1743,5854
67773,553,1631,5789
67773,519,1718,5660
67773,546,1626,5797
67773,546,1744,5797
67773,524,1638,5679
67773,546,1788,5855
67773,518,1652,5672
67773,544,1725,5815
67773,544,1564,5721
67773,520,1776,5724
67773,548,1613,5775
67773,538,1755,5836
67740,517,1644,5648
67740,552,1734,5823
67773,516,1634,5646
67773,542,1714,5795
67762,518,1602,5622
67762,566,1928,6006
67729,557,1762,5911
67729,547,1765,5855
67773,522,1630,5636
67773,548,1747,5835
67773,515,1629,5634
67773,554,1764,5870
67773,516,1655,5660
67773,556,1798,5891
67773,540,1618,5751
67773,542,1746,5846
67773,520,1636,5652
67773,547,1770,5841
67773,513,1669,5657
67773,548,1729,5831
67773,519,1675,5693
67773,571,1802,5996
67773,525,1626,5679
67773,541,1676,5746
67773,523,1606,5637
67773,556,1797,5876
67773,517,1620,5634
67773,542,1738,5814
67773,516,1565,5578
67773,555,1785,5883
67773,543,1667,5826
67773,543,1761,5836
67773,518,1541,5563
67773,549,1792,5871
67773,515,1640,5647
67773,545,1706,5796
67773,518,1592,5609
67773,549,1788,5868
67773,513,1609,5613
67773,548,1707,5803
67773,546,1586,5757
67773,542,1812,5878
67773,515,1695,5699
67773,548,1746,5861
67773,514,1636,5632
67773,558,1805,5909
67773,509,1609,5764
67773,549,1754,5686
67773,543,1661,5813
67773,549,1805,5887
67773,517,1639,5629
67773,545,1757,5849
67773,516,1661,5677
67773,553,1811,5911
67773,544,1663,5818
67773,515,1776,5701
67773,544,1493,5666
67773,546,1790,5855
67773,517,1617,5639
67773,544,1696,5784
67773,516,1599,5600
67773,556,1737,5835
67773,519,1499,5517
67773,551,1779,5868
67773,543,1583,5721
67773,554,1849,5959
67773,516,1568,5569
67773,544,1766,5865
67773,516,1642,5633
67773,553,1805,5910
67773,515,1574,5601
67773,547,1660,5735
67773,544,1563,5719
67773,546,1724,5799
67773,517,1566,5583
67773,544,1638,5722
67773,514,1496,5490
67773,551,1768,5876
67740,514,1626,5613
67740,551,1652,5765
67729,541,1553,5674
67729,551,1799,5917
67729,519,1635,5636
67729,544,1711,5803
67729,518,1617,5618
67729,553,1808,5896
67729,515,1541,5556
67729,548,1676,5785
67729,546,1605,5739
67729,542,1745,5818
67729,521,1656,5683
67729,529,3613,7584
67729,543,1639,5726
67729,547,1711,5820
67729,517,1535,5570
67729,547,1713,5789
67729,546,1630,5795
67729,542,1688,5756
67971,519,1491,5511
67971,549,1622,5714
67773,521,1609,5622
67773,553,2475,6596
67729,542,1666,5764
67729,520,1631,5599
67740,516,1667,5681
67740,579,1687,5889
67773,525,1613,5660
67773,541,1492,5562
67773,520,1439,5454
67773,547,1712,5786
67773,516,1530,5537
67773,547,1582,5687
67773,515,1585,5743
67773,553,1819,5739
67773,544,1637,5781
67773,543,1732,5833
67773,518,1647,5653
67773,543,1761,5833
67773,516,1544,5564
67773,548,1700,5800
67773,516,1644,5652
67773,574,1767,5979
67773,521,1637,5672
67773,543,1621,5702
67773,523,1446,5469
67773,570,2041,6120
67773,515,1445,5468
67773,546,1720,5805
67773,517,1496,5497
67773,549,1741,5836
67971,593,10678,14544
67971,624,19756,23735
68170,615,21835,25733
68170,969,18233,22630
68170,646,19282,23755
68170,578,21033,24563
67927,856,18387,22911
67927,955,15123,19266
67972,798,15922,19823
67972,630,43801,47587
68091,665,44193,48584
68091,863,18536,22702
68136,623,19729,23460
68136,693,20115,24513
68170,663,19958,23705
68170,655,20108,24396
68170,1045,13806,18307
68170,661,18660,22324
68170,706,19542,24064
68170,665,19908,24123
68170,650,19878,23585
68170,1034,17328,21631
68214,858,10757,14663
68214,679,19023,23203
68170,668,20091,23991
68170,667,19849,24096
68170,658,19938,23709
68170,666,19857,24172
68170,644,19423,23877
68170,611,21368,25544
68136,588,22095,25944
68136,754,22040,26211
68170,1218,14292,18474
68170,854,21474,25779
67685,1101,20069,24150
67685,1052,19432,24173
66990,971,19184,23152
66990,911,19364,23264
66261,1023,20259,24734
66261,1239,25554,30068
66272,991,19805,23949
66272,973,19550,23776
66272,898,18917,22791
66272,1212,17972,22447
66802,1770,12366,16625
66802,1282,15591,20014
66791,1237,18041,22328
66791,695,6021,10578
66305,969,15856,19819
66305,1109,7738,11993
66272,609,14656,18533
66272,654,19449,23814
66019,599,19636,23468
66019,618,20650,24857
65986,607,22256,26033
65986,875,21355,25523
66229,969,19272,23767
66229,932,19627,23521
66030,946,18973,23460
66030,1189,19697,24108
66272,969,19659,23462
66272,970,19389,23616
66272,1060,19149,23776
66272,849,18789,22692
69626,849,19983,24350
69626,939,19297,23459
67487,938,19161,23156
67487,1023,19557,23462
66758,1014,19374,23963
66758,883,19379,23199
77823,926,19050,23319
77823,859,19357,23787
107389,633,19259,23198
107389,671,15457,19688
130513,679,8246,12380
130513,678,6424,10505
136924,672,6269,10363
136924,686,6233,10356
140920,648,6285,10538
140920,705,6218,10128
141161,686,6296,10453
141161,683,6333,10252
141642,703,6138,10443
141642,688,6308,10421
142191,668,6246,10278
142191,682,6197,10305
142844,652,6317,10323
142844,703,6306,10462
141882,663,6245,10265
141882,680,6312,10384
142363,662,6094,10142
142363,687,6272,10364
142191,692,6065,10327
142191,702,4534,8585
140748,653,4337,8311
140748,709,4507,8633
139397,681,4278,8420
139397,694,4356,8539
140025,665,4291,8364
140025,738,5221,9319
138848,735,5151,9114
138848,696,4336,8566
139785,647,4400,8314
139785,716,4163,8452
138582,691,3935,8060
138582,707,4106,8120
138848,653,4929,8905
138848,700,13270,17416
142990,664,14603,18526
142990,671,13352,17550
146807,651,13618,17456
146807,692,13576,17897
145776,744,18984,22894
145776,674,17395,21480
147261,711,17882,22450
147261,676,17820,21473
148221,695,16378,20903
148221,699,16523,20625
148870,653,9579,13542
148870,693,5412,9485
146875,647,5610,9890
146875,680,10673,14511
148220,692,9813,14096
148220,642,8963,12790
147979,698,8806,13107
147979,647,7797,11751
145673,691,4530,8663
145673,689,4486,8641
144259,653,4362,8326
144259,721,4626,8789
142845,697,4493,8705
142845,690,4455,8567
143634,673,4355,8355
143634,653,4427,8364
141709,687,4349,8510
141709,713,4590,8812
140026,678,4008,8093
140026,679,3963,8051
139397,674,3910,7976
139397,686,3959,8032
138767,671,3886,7894
138767,711,4630,8700
140119,666,4667,8698
140119,703,4725,8878
140747,672,4347,8409
140747,691,4101,8258
140533,657,4172,8198
140533,687,4149,8241
140052,672,4249,8333
140052,693,6375,10449
141428,667,6315,10323
141428,672,6236,10363
142191,690,5260,9445
142191,724,3958,8119
138607,694,3427,7584
138607,674,3469,7423
135329,704,3383,7588
135329,680,3483,7569
134189,682,3456,7514
134189,686,3695,7703
137951,692,6040,10230
137951,602,6551,10419
134125,718,14916,19038
134125,1122,18628,22999
93622,661,19292,23247
93622,712,20426,24478
101731,719,16185,20158
101731,762,7275,11675
106304,720,3415,7498
104197,712,3363,7411
104197,732,3330,7394
104198,715,3288,7436
104198,736,3310,7434
103490,689,3303,7347
103490,652,3202,7238
103490,697,3828,8042
122064,663,4298,8314
122064,1089,8566,12375
135304,797,16360,20312
135304,923,18003,22398
142577,721,15373,19726
142577,846,12364,16614
144955,696,10566,14473
144955,692,9646,13838
145633,660,8360,12309
145633,703,6634,10917
143566,662,5088,9041
143566,889,5825,10037
140988,854,5588,9830
140507,815,5809,9823
140507,788,5578,9595
139811,852,5677,9834
139811,795,5554,9596
139089,844,5734,10006
139089,823,5573,9725
139156,807,5705,9629
139156,814,5577,9743
139156,870,5937,10113
139156,806,5534,9675
139570,832,5775,9793
139570,822,5758,9887
138607,847,5671,9826
138607,830,5626,9709
139330,822,5669,9802
139330,702,5053,9287
141402,642,4895,8849
141402,695,4950,9137
141469,681,4967,8993
141469,679,5004,9092
141710,657,5045,8996
141710,743,4854,9197
141950,683,4247,8258
141950,680,4302,8383
140747,712,4296,8401
140747,690,4285,8392
140533,664,4143,8166
140533,687,4235,8328
140052,675,4283,8342
140052,691,4296,8388
140533,701,4288,8517
140533,674,4213,8263
140774,662,4127,8138
140774,700,4340,8551
140292,662,4213,8126
140292,701,3796,8053
139811,698,4345,8320
139811,693,4437,8547
141229,672,4317,8407
141229,679,6798,10858
143608,667,6990,11008
143608,697,7121,11246
144981,670,7092,11058
144981,675,6891,11038
145943,695,6887,11150
145943,667,6765,10782
145703,689,6480,10505
145703,709,6096,10304
144115,704,6630,10596
144115,674,12192,16060
145322,674,16660,20607
145322,682,16627,21026
148178,663,12310,16398
148178,709,6362,10826
145490,670,6208,10264
145490,680,6494,10571
145008,645,5757,9705
145008,688,5280,9411
144570,699,5332,9547
144570,652,5429,9378
143153,732,5337,9582
143153,656,5336,9220
143806,698,5461,9764
143806,660,5401,9256
143635,665,6220,10276
143635,717,6827,11196
145051,668,6624,10687
145051,640,6778,10631
145222,700,6748,11051
145222,671,6772,10848
144287,693,5604,9735
144287,682,4704,8819
142913,668,4722,8731
142913,675,4827,8904
142818,672,4827,8817
142818,688,4805,8944
127528,674,4864,8908
127528,759,7339,11357
122488,738,4782,9136
122488,735,4228,8181
117076,726,4074,8268
117076,718,4196,8237
114441,717,4101,8214
114441,744,4380,8526
116538,682,4176,8178
116538,675,3835,7941
130574,674,4044,8057
130574,1081,6273,10515
136026,826,6849,10949
136026,886,7187,11368
140507,695,6195,10138
140507,845,6854,11057
141683,701,6049,10048
141683,692,5878,9990
142844,705,5756,9979
142844,673,4570,8651
140506,674,3891,7927
140506,861,4509,8606
136748,819,4369,8486
136748,878,5207,9456
138848,799,7379,11500
138848,785,7951,11724
140292,836,7931,12274
140292,824,7834,12049
142912,814,8586,12648
142912,797,16909,20779
144191,812,15209,19532
144191,852,12617,16862
144191,788,12214,16193
144191,847,12223,16474
144431,784,11443,15326
144431,821,9967,14254
144020,834,10442,14412
144020,815,10273,14389
145462,699,7778,12035
145462,683,6253,10432
145152,646,6136,10015
145152,738,5461,9795
142845,675,4621,8677
142845,694,3470,7566
137164,699,3408,7497
137164,694,3491,7549
136292,679,3481,7498
136292,697,3534,7676
134671,772,3914,7981
134671,732,5302,9344
138849,699,5046,9244
138849,663,5079,9011
141951,696,5081,9289
141951,651,5176,9087
142122,698,4964,9235
142122,657,5101,8995
143084,677,5015,9199
143084,684,5045,9125
142431,670,5058,9136
142431,688,4681,8717
141469,692,4279,8497
141469,672,4286,8298
140532,669,4256,8294
140532,705,4393,8631
142191,651,5373,9262
142191,693,5326,9527
142122,698,5439,9664
142122,640,5439,9306
143566,700,5396,9667
143566,668,5396,9398
144019,661,5387,9437
144019,712,5429,9604
143393,658,5336,9337
143393,689,5436,9592
142817,691,5410,9626
142817,664,5450,9349
142672,682,4819,9000
142672,690,4489,8633
141950,665,4468,8489
141950,691,4595,8724
141709,665,4603,8576
141709,688,4454,8606
140773,692,4052,8155
140773,691,4067,8199
139330,662,3991,7970
139330,713,4151,8332
138608,687,4077,8168
138608,680,4050,8054
138608,709,3969,8216
138608,703,4096,8154
139089,689,4047,8108
139089,681,4083,8220
139304,668,3942,7966
139304,682,4030,8120
139544,706,3975,8148
139544,662,4035,8012
140988,667,6671,10551
140988,664,13659,17835
143779,687,6667,10822
143779,647,5168,9266
130092,735,9802,13654
130092,750,12955,17325
123430,719,4193,8280
123430,721,3637,7826
114628,684,3665,7655
114628,742,3785,7951
109927,698,3657,7684
109927,719,3727,7819
103714,683,3658,7712
103714,1033,7547,11613
90053,985,21543,25513
90053,1202,24913,29004
95753,926,21221,26011
95753,977,21228,24871
95995,779,13192,17574
95995,920,9625,13823
93639,778,9266,13238
93639,764,9243,13381
93155,727,8990,13001
93155,741,8823,13017
92958,761,9033,13309
92958,1010,10235,14414
93684,889,9549,13513
93684,941,9693,13994
93655,877,9538,13510
93655,1572,9053,13460
79815,1501,8490,12610
79815,1442,7175,11431
73605,1562,7982,12238
73605,1461,6848,11157
71419,1407,9109,13309
71419,1278,11654,16008
70677,1201,15674,19753
70677,1219,16930,21194
70157,1028,18986,22947
74186,626,16276,20419
74186,906,9017,12219
74186,567,3345,7630
71601,562,2022,6112
71601,504,1705,5789
70400,546,1694,5706
70400,561,1868,5959
69706,518,1669,5662
69706,559,1965,6073
69706,515,1854,5851
69706,552,1767,5880
69463,545,1566,5699
69463,544,1848,5926
69463,535,1805,5836
69463,523,3179,7305
69463,554,1646,5624
69463,536,1772,5854
69463,518,1659,5676
69463,552,1802,5893
69463,546,1651,5816
69463,519,1724,5806
69463,547,1590,5617
69463,543,1707,5798
69463,522,1631,5647
69463,553,1861,5940
69463,518,1677,5684
69463,545,1899,5988
69186,519,1748,5773
69186,550,1741,5821
69186,553,1769,5946
69186,542,1866,5940
69186,519,1729,5761
69186,549,1910,5956
69186,530,1798,5843
69186,548,1741,5819
69186,524,1589,5617
69186,554,1792,5860
68988,549,1641,5818
68988,543,1636,5708
69220,519,1570,5593
69220,546,1936,6003
68988,522,1749,5774
68988,546,1838,5915
69220,519,1641,5654
69220,549,1786,5876
69186,551,1621,5787
69186,542,1714,5791
69186,533,1650,5662
69186,546,1833,5898
69186,518,1565,5598
69186,550,1623,5709
68943,548,1521,5682
68943,545,1803,5865
68943,526,1736,5769
68943,546,1787,5876
68943,523,1759,5760
68943,554,1897,5995
57403,518,1632,5639
57403,549,1699,5787
52087,515,1507,5522
50625,565,1859,6009
50625,554,1732,5866
49659,524,1709,5718
49659,538,1744,5811
49173,537,1630,5706
49173,536,1717,5758
48929,537,1518,5629
48929,525,1725,5695
48954,546,1623,5761
48954,550,1762,5879
48954,518,1504,5505
48954,565,1824,5896
48954,536,1843,5889
48954,550,1755,5825
48954,548,1971,5975
48954,570,2584,6817
48954,533,1705,5756
48954,544,1678,5763
48954,524,1510,5542
48954,543,1801,5852
48711,520,1584,5613
48711,550,1714,5794
48711,519,1581,5618
48711,550,1790,5838
48711,554,1634,5821
48711,540,1709,5765
48954,516,1509,5510
48954,555,1753,5860
48954,524,1626,5651
48954,548,1740,5814
48711,516,1720,5716
48711,568,1791,6008
48954,529,1752,5804
48954,551,1875,5946
48954,520,1749,5767
48954,547,1853,5932
48954,520,1680,5702
48954,550,1758,5836
48686,514,1539,5541
48686,551,1717,5820
48686,548,1685,5849
48686,537,1770,5820
48686,595,4603,8678
48686,529,1678,5712
48686,536,1787,5831
48686,551,1727,5806
48686,512,1564,5571
48686,551,1670,5761
48686,546,1650,5814
48686,542,2012,9613
35136,538,1504,13341
35136,523,1634,13182
26613,540,1699,13534
26613,527,1797,13354
23203,533,1632,13431
23203,555,1848,13736
22232,509,1655,13155
22232,556,1718,13629
21743,538,1462,13262
21743,521,1628,13163
21743,531,1717,13465
21743,536,1670,13337
21507,533,1565,13374
21507,548,1648,13495
21752,506,1651,13127
21752,563,1751,13688
21507,537,1596,13421
21507,526,1654,13197
21255,541,1702,13505
21255,532,1644,13278
21255,531,1729,13466
21255,535,1638,13301
21263,531,1723,13467
21263,569,1761,13650
21263,538,1687,13464
21263,520,1710,13251
21263,542,1581,13458
21263,529,1778,13326
21263,534,1546,13348
21263,547,1652,13467
21263,514,1590,13182
21263,560,1669,13542
21263,537,1476,13312
21263,513,1690,13161
21263,546,1682,13564
21263,1578,42722,53894
21493,667,7396,19857
21493,551,2024,13842
21255,522,1890,13418
21255,552,1823,13693
21263,507,1573,13106
21263,553,1653,13518
21263,540,1612,13444
21263,524,1688,13241
