nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
21507,601,6154,16910
21507,530,2184,13883
21507,525,2065,13877
21507,601,2742,14631
21507,529,2165,13695
21507,542,2049,13920
21507,526,1989,13797
21507,519,1949,13535
21499,520,1949,13722
21499,510,1879,13470
21254,522,1859,13669
21254,536,1820,13741
21499,501,1843,13396
21499,526,1881,13682
21499,524,1972,13774
21499,508,1841,13421
21499,526,1867,13706
21499,506,1925,13474
21499,523,1951,13726
21499,534,1870,13765
21255,499,1825,13359
21255,531,1911,13768
21255,524,1928,13744
21255,508,1894,13462
21263,523,1903,13720
21263,504,1798,13625
21263,528,1895,13448
21263,531,1816,13688
21263,498,1906,13436
21263,527,1827,13668
21018,522,2011,13755
21018,515,1907,13580
21018,513,1828,13489
21018,519,1814,13545
21018,517,1793,13488
21018,534,2048,13925
21018,524,1986,13758
21018,513,1817,13501
21018,521,1807,13570
21018,509,1816,13462
21018,515,1822,13525
21018,513,1883,13561
21018,540,1857,13833
21018,517,1809,13536
21018,512,1863,13527
21018,514,1807,13527
21018,513,1860,13541
21018,515,1812,13505
21018,512,1869,13545
21018,518,1875,13580
17601,525,1982,13776
17601,532,1872,13766
17601,512,1829,13502
17601,513,1800,13485
17601,517,1937,13614
17601,517,1993,13696
17601,513,1871,13551
17601,513,1831,13515
17601,540,1862,13859
17601,516,1826,13529
17601,511,1805,13493
17601,516,1922,13623
17601,520,1835,13572
17601,509,1837,13470
17601,512,1801,13477
17601,520,1857,13603
17601,515,1819,13493
17601,538,1822,13799
17601,513,1789,13460
17601,516,1804,13537
17356,501,1893,13436
17356,517,1811,13528
17356,523,1916,13717
17356,512,1816,13488
17356,542,1898,13866
17356,521,1965,13711
17356,515,1930,13587
17356,514,1812,13538
17356,514,1971,13637
17356,515,1825,13541
17356,511,1830,13501
17356,520,1853,13602
17356,512,1878,13512
17356,537,1856,13784
17356,520,1918,13673
17356,518,1807,13539
17356,519,1828,13548
17356,513,1892,13562
17356,513,1803,13499
17356,515,1831,13524
17356,521,1943,13706
17356,534,1870,13779
17356,514,1796,13516
17356,513,1819,13493
17356,513,1803,13494
17356,515,1859,13548
17356,511,1849,13503
17356,515,1864,13558
17356,518,1799,13522
17356,535,1849,13798
17356,515,1811,13512
17356,519,1879,13595
17356,515,1816,13503
17356,511,1846,13504
17356,517,1824,13550
17356,533,1968,13845
17356,501,1836,13324
17356,538,1805,13790
17356,513,1828,13512
17356,516,1831,13553
17601,522,1894,13682
17601,507,2010,13588
17601,514,1833,13523
17601,517,1886,13603
17601,518,1924,13617
17601,537,2044,14004
17601,517,1993,13694
17601,515,1805,13488
17601,516,1889,13593
17601,513,1833,13515
17601,512,1804,13486
17601,516,1914,13610
17601,515,1879,13594
17601,537,1827,13788
17601,514,1849,13559
17601,517,1831,13537
17601,513,1808,13502
17601,512,1859,13521
17601,514,1794,13508
17601,516,1883,13580
17607,524,1928,13746
17607,530,1811,13670
17607,512,1816,13498
17607,509,1802,13416
17607,522,1896,13693
17607,514,2091,13724
17607,521,2035,13765
17607,533,1825,13729
17607,494,1853,13320
17607,538,1809,13787
17607,515,1864,13570
17607,509,1816,13461
17607,510,1833,13497
17607,521,1851,13623
17607,513,1899,13592
17607,537,1888,13823
17607,494,1828,13284
17607,540,1829,13816
17607,514,1842,13534
17607,507,1816,13424
17362,509,1887,13521
17362,532,1917,13804
17362,513,1841,13521
17362,529,1849,13711
17362,499,1906,13411
17362,541,2015,13988
17362,520,1924,13615
17362,506,1854,13446
17362,527,1961,13786
17362,512,1804,13492
17362,594,10962,22640
17362,610,20672,32367
17362,589,21180,32828
17362,909,18667,30375
17362,708,18687,30461
17362,694,17357,29034
17362,578,20939,32604
17362,626,21155,32845
17362,768,17144,29595
17362,609,28074,39306
17062,633,51368,63547
17062,654,26667,38358
17062,714,20727,32248
17062,705,19421,31279
17062,752,20309,32085
17062,618,21201,32573
17062,726,20740,32503
17062,1105,22378,34690
26334,758,18769,24534
26334,979,20255,24143
40167,1064,20095,24758
40167,1005,20079,24302
45491,990,19792,23896
45491,1018,19644,23849
47436,1049,19656,23701
47436,1060,20008,24292
48166,1039,20032,24138
48166,1058,20024,24245
48409,1061,20187,24309
48409,1090,20238,24509
48652,1172,19828,24511
48652,1013,19982,23654
48652,1034,20014,24603
48652,1011,20364,24619
48652,1162,20453,24579
48652,1083,19985,24302
48652,1110,20194,24262
48652,1057,20050,24160
48652,1058,20237,24467
48652,1118,19402,24144
48652,1014,19652,23760
48652,959,22757,26528
48652,927,20631,25134
48652,1040,19914,24278
66239,717,22444,26378
66239,601,20065,24218
87105,584,21083,24997
87105,605,21505,25679
101904,594,21542,25406
101904,581,21449,25615
113752,599,21379,25321
113752,575,20879,24999
131061,621,21365,25987
131061,577,20882,24972
138837,570,21290,25080
138837,609,20771,25001
140320,608,20650,24613
140320,586,20874,24924
142174,578,21208,25152
142174,599,21523,25671
142894,564,21783,25662
142894,603,21576,25715
141934,588,21610,26236
141934,606,21362,25310
142654,591,21622,25672
142654,579,21255,25327
143374,585,21763,25736
143374,583,21408,25431
142868,618,21170,25212
142868,591,21302,25375
144068,573,21645,25562
144068,601,21731,25867
143374,600,21629,26128
143374,574,21272,24820
142174,617,21811,26449
142174,580,21390,25354
142628,590,22031,26077
142628,575,21640,25717
143588,584,21976,25888
143588,588,21631,25700
143828,614,21636,25610
143828,596,21639,25704
143828,567,22275,26876
143828,603,22118,25612
142654,607,22027,26548
142654,587,21710,25831
142868,586,22152,26124
142868,573,21910,25963
143828,587,22251,26255
143828,581,21953,25891
144692,582,21899,25928
144692,600,21779,25900
144068,594,21486,25439
144068,604,21610,25670
142895,608,21966,26574
142895,570,21345,25524
142628,605,21967,25847
142628,572,21788,25789
143348,589,22198,26211
143348,575,21839,25959
145172,585,22213,26112
145172,599,22007,26226
144549,566,21993,25876
144549,603,22112,26233
142868,637,21378,25950
142868,596,21573,25700
142628,584,21803,25795
142628,572,21602,25600
143348,585,22061,26046
143348,569,21829,25863
144720,591,22114,26046
144720,597,21761,25908
144789,573,21963,25911
144789,607,22131,26253
143828,601,21991,26498
143828,572,21830,25384
142894,638,21453,26012
142894,590,21581,25687
143348,581,22010,25947
143348,579,21847,25958
144000,581,22250,26167
144000,589,21954,26058
144960,574,22097,25995
144960,601,22164,26336
144309,611,22103,26637
144309,562,21790,25255
143374,613,21997,26586
143374,572,21827,25870
143134,614,21759,25767
143134,579,21585,25707
144309,576,22133,25962
144309,593,21932,26072
145509,571,21950,25856
145509,605,22018,26180
144069,604,21879,26368
144069,572,21772,25303
142894,612,22049,26618
142894,576,21958,26034
144069,587,22227,26270
144069,571,21937,25972
144789,611,21863,25758
144789,588,21941,26037
145029,574,22242,26203
145029,604,22280,26433
144885,562,22220,26088
144885,633,22673,26690
126335,645,23808,28554
126335,583,21034,25074
102853,560,22157,26161
102853,556,22523,26563
93077,534,22586,26486
93077,553,22575,26649
88982,591,22217,26241
88982,567,22181,26308
88499,560,22482,26383
88499,560,22496,26581
87063,547,22699,27367
87063,563,22577,26033
88257,588,22562,27108
88257,561,22489,26531
87574,543,22545,26521
86848,553,22731,26534
86848,574,22581,26967
88015,578,22658,26956
88015,572,22058,25727
103527,600,24779,28757
103527,578,21752,25824
129618,588,22347,26369
129618,688,22772,27436
137702,569,21658,25246
137702,618,21534,26036
142148,562,21800,25488
142148,606,21760,26152
143108,603,21864,26197
143108,575,21591,25340
143108,609,21730,26090
143108,604,21180,24781
142388,591,21845,25864
142388,573,21919,26705
144040,620,22488,26391
144040,571,22053,26035
145749,587,22278,26310
145749,600,21963,26089
145481,564,21979,25925
145481,604,22028,26076
143828,587,22022,25965
143828,586,21771,25846
144549,622,22347,26995
144549,609,21392,25478
143828,576,22107,26024
143828,581,21899,25962
145440,574,21833,25732
145440,604,21900,26080
145200,564,21793,25680
145200,605,21970,26200
144068,581,22013,25913
144068,601,21837,25935
143828,614,21961,26500
143828,548,21726,25251
144480,614,21892,26457
144480,608,20908,25004
144309,584,21608,25594
144309,589,21578,25602
145749,567,21569,25491
145749,602,21659,25805
144576,574,21978,25900
144576,603,21679,25793
144308,588,21961,25904
144308,572,21621,25738
144549,621,21923,26528
144549,574,21503,25449
145961,582,21504,25571
145961,622,21084,25184
145509,567,21693,25601
145509,610,22090,26281
145029,562,21935,25816
145029,603,22036,26194
143829,587,21919,25871
143829,581,21829,25878
144549,593,22094,26125
144549,570,21863,25953
145749,612,22266,26787
145749,601,21955,26084
146710,559,22053,25982
146710,636,21551,25722
145269,560,21955,25770
145269,605,21859,26079
144549,588,22086,25951
144549,574,22052,26183
144789,595,22454,26424
144789,612,22019,26703
146442,574,22111,26032
146442,606,21924,26141
145749,554,21911,25753
145749,614,22194,26408
144309,561,21977,25779
144309,638,21225,25500
143855,565,21849,25693
143855,610,21832,25994
144068,609,22009,26468
144068,553,21993,25516
147331,615,22254,26836
147331,551,21967,25544
148741,605,22290,26705
148741,606,21921,26123
149010,560,21931,25798
149010,608,21920,26149
148359,566,22067,25854
148359,632,21396,25647
147399,580,21646,25481
147399,591,21443,25601
147541,616,21926,26510
147541,575,21628,25671
148262,584,22066,26012
148262,590,21762,25874
149461,570,21876,25705
149461,608,21793,26057
147571,563,21807,25702
147571,603,21967,26094
145749,582,21795,25746
145749,627,21731,25887
144720,613,22083,26559
144720,551,21852,25376
145412,617,22317,26924
145412,575,21982,26025
146302,578,22279,26160
146302,598,22037,26117
128656,585,24544,28513
128656,568,21987,26137
105439,559,22274,26215
105439,558,22289,26339
94465,548,22581,26598
94465,550,22486,26637
91098,590,22825,27455
91098,569,22433,26513
90418,550,22691,26573
90418,568,22615,26821
88741,532,22791,26648
88741,551,22807,26803
88967,566,22667,26744
88967,565,22683,26792
88499,556,22871,26731
88499,557,22372,26531
87831,575,22608,27112
87831,532,22181,25788
89466,593,22606,27105
89466,606,24565,28660
120158,554,21669,25407
120158,622,21384,25746
134908,580,21869,25765
134908,688,22569,26707
140320,566,21259,25215
140320,617,21821,25935
142174,615,22119,26643
142174,573,21571,25033
143108,618,22113,26714
143108,579,21695,25771
144789,585,22127,26074
144789,572,22009,26037
146852,584,22215,26141
146852,598,21827,26014
146372,569,22047,25988
146372,600,22158,26179
145029,574,21999,26008
145029,605,21868,25955
144549,618,21997,26630
144549,572,21928,25879
145440,591,22302,26380
145440,581,21886,25922
147332,572,22124,26003
147332,604,22076,26288
146400,566,22098,26012
146400,605,22072,26226
145269,592,22233,26169
145269,579,21823,25897
145440,613,22336,26810
145440,593,21965,26217
146132,582,22321,26202
146132,599,21862,26028
146640,557,21995,25825
