nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
16874,661,5697,16505
16874,491,1799,13590
16874,484,1413,13151
16874,481,1353,13056
16874,479,1305,12992
16874,476,1316,12970
16874,483,1315,13063
16874,485,1362,13123
16874,474,1296,12925
16874,487,1297,13091
16874,484,1304,13034
16874,482,1334,13057
16874,479,1351,13034
16874,478,1354,13031
16874,480,1485,13189
16874,481,1498,13197
16874,493,1410,13248
16874,472,1352,12965
16874,487,1298,13080
16874,482,1340,13049
16874,478,1415,13093
16874,483,1390,13114
16874,481,1527,13228
16874,479,1376,13063
16874,479,1376,13073
16874,481,1489,13347
16874,491,1350,13033
16874,472,1474,13081
16874,487,1345,13130
16874,480,1286,12981
16874,480,1358,13048
16874,481,1239,12953
16874,479,1341,13033
16874,492,1229,13080
16874,480,1418,13105
16874,481,1279,12982
16874,481,1310,13013
16874,475,1270,12921
16874,483,1256,13008
16874,479,1354,13038
16874,480,1319,13011
16874,493,1414,13265
16874,481,1448,13149
16874,479,1315,13009
16874,479,1311,13007
16874,480,1299,12992
16874,479,1234,12919
17118,487,1376,13174
17118,471,1225,12826
17118,492,1259,13100
17118,479,1233,12934
17118,481,1216,12925
17118,479,1287,12979
17118,479,1235,12924
17118,479,1274,12978
17118,479,1280,12968
17118,480,1380,13085
16874,486,1328,13100
16874,485,1280,13040
16874,479,1248,12943
16874,479,1378,13062
16874,482,1297,13006
16874,480,1299,12997
16874,480,1249,12950
16874,479,1266,12966
16874,491,1338,13160
16874,481,1345,13055
16874,474,1358,12999
16874,484,1276,13032
16874,481,1228,12937
16874,479,1379,13063
16874,480,1247,12952
16874,480,1315,13154
16874,492,1430,13135
16874,480,1391,13077
16874,481,1530,13242
16874,480,1502,13196
16874,484,1477,13232
16874,475,1263,12912
16874,481,1215,12918
16874,479,1279,12968
16874,482,1442,13293
16874,493,1412,13111
16874,481,1281,12988
16874,478,1389,13078
16874,482,1404,13105
16874,478,1222,12910
16874,484,1370,13123
16874,474,1359,12997
16874,480,1369,13076
16874,489,1413,13237
16874,482,1407,13131
16874,478,1441,13119
16874,482,1387,13102
16874,479,1438,13124
16874,480,1341,13041
16874,480,1259,12948
16874,484,1299,13062
16874,485,1253,13019
16874,481,1249,12956
