nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
16874,706,5462,16544
16874,538,2117,14081
16874,495,1932,13401
16874,531,1671,13593
16874,515,1784,13472
16874,514,1726,13398
16874,516,1512,13234
16874,529,1742,13626
16874,504,1832,13308
16874,534,1597,13548
16874,515,1539,13252
16874,512,1470,13164
16874,506,1543,13139
16874,517,1572,13320
16874,516,1535,13260
16874,528,1529,13413
16874,504,1622,13218
16874,530,1738,13608
16874,515,1558,13263
16874,515,1447,13174
16874,513,1487,13168
16874,508,1446,13100
16874,512,1433,13132
16874,514,1540,13234
16874,513,1577,13269
16874,534,1512,13466
16874,515,1605,13322
16874,513,1721,13416
16874,512,1636,13324
16874,512,1607,13293
16874,513,1578,13265
16874,512,1617,13309
16874,514,1568,13263
16874,534,1555,13519
16874,516,1657,13379
16874,512,1685,13370
16629,497,1560,13356
16629,530,1635,13197
16629,515,1589,13303
16629,514,1518,13220
16629,541,1886,13687
16629,547,1922,13338
16629,537,1474,13441
16629,504,1477,13070
16629,525,1662,13467
16629,506,1647,13244
16629,518,1446,13173
16629,514,1491,13192
16629,515,1740,13426
16629,537,1595,13566
16629,515,1647,13373
16629,512,1708,13388
16629,516,1726,13436
16629,510,1748,13412
16629,515,1539,13259
16629,510,1643,13304
16874,528,1743,13610
16874,530,1897,13707
16874,518,1802,13494
16874,515,1657,13372
16874,515,1509,13195
16874,519,1516,13235
16874,509,1422,13068
16874,515,1529,13229
16874,515,1525,13230
16874,535,1500,13445
16874,516,1415,13136
16874,513,1545,13222
16874,518,1528,13222
16874,514,1477,13188
16874,514,1392,13098
16874,513,1534,13228
16874,517,1518,13233
16874,510,1536,13202
16874,514,1467,13479
16874,517,1684,13200
16874,543,1522,13425
16874,513,1472,13148
16874,511,1514,13167
16874,516,1459,13184
16874,525,1679,13334
16874,538,1685,13677
16874,513,1502,13172
16874,514,1611,13322
16874,515,1532,13228
16874,516,1546,13225
16874,514,1423,13128
16874,513,1526,13206
16874,513,1469,13156
16874,537,1421,13381
16874,516,1422,13142
16874,510,1454,13113
16874,517,1471,13183
16874,512,1506,13176
16874,515,1416,13124
16874,514,1541,13286
16874,515,1551,13184
16874,538,1727,13683
16874,513,1541,13232
16874,515,1484,13197
16874,515,1523,13205
16874,515,1480,13189
16874,513,1424,13112
16874,509,1549,13180
16874,520,1748,13503
16874,535,1595,13544
16874,515,1477,13180
16874,511,1467,13139
16874,518,1543,13271
16874,512,1507,13180
16874,515,1457,13162
16874,510,1433,13092
16874,515,1538,13234
16874,514,1527,13531
16874,539,1475,13161
16874,501,1659,13201
16874,531,1495,13359
16874,513,1571,13249
16874,514,1526,13221
16874,514,1425,13125
