nvml:nvidia_geforce_gtx_970_0,rapl:ram,rapl:cores,rapl:pkg
17107,983,5938,20536
17107,509,2451,14085
17107,516,2140,13831
17107,517,2153,13850
17107,518,2141,13858
17107,543,2198,14163
17107,517,2139,13854
16874,519,2171,13903
16874,513,2146,13775
16874,517,2156,13866
16874,505,2133,14037
16874,522,2158,13588
16874,520,2132,13872
16874,542,2131,14128
16874,514,2121,13790
16874,517,2117,13843
16874,511,2111,13748
16874,519,2109,13844
16874,514,2116,13791
16874,520,2102,13839
16874,514,2093,13768
16874,514,2071,14056
16874,538,2135,13797
16874,519,2140,13848
16874,512,2134,13801
16874,515,2145,13791
16874,516,2139,13833
17118,524,2161,13954
17118,534,2130,14017
17118,518,2133,13842
17118,515,2119,13823
17118,519,2130,13848
17118,519,2125,13835
17118,515,2146,13821
17118,518,2123,13846
17118,514,2131,13808
17118,517,2131,13840
17118,516,2089,13783
17118,518,2111,13842
17118,542,2108,14101
17118,615,5694,17209
17118,2567,47810,60538
17118,2260,54560,66566
17118,2260,54442,67070
17118,2156,53900,66097
17118,2281,52347,65847
17118,2124,53683,66076
16846,2251,52745,64579
16846,2245,52953,65257
16846,2085,53553,66179
16846,2283,50520,63394
16846,2165,50704,62300
16846,2222,54526,67583
16846,2141,54752,67412
16846,2215,54924,67481
16846,2235,54502,66449
16846,2176,55066,68092
16846,2124,55121,67081
16846,2224,54872,67399
16846,2298,54120,66762
16846,2218,54346,66570
16846,2206,54583,67870
16846,2087,54969,67144
16846,2172,53964,65893
16846,2208,51660,63944
16846,2216,56124,68642
16846,2269,55921,69365
17085,2277,54826,66474
17085,2107,56269,68966
17085,2264,55849,69061
17085,2205,55604,67507
17085,2271,55059,67333
17085,2483,53284,66398
17085,2311,52926,64683
17085,2406,53581,66170
17085,2304,54175,66805
17085,2391,52904,65897
17085,2299,53673,65532
17085,2308,54174,67726
17085,2365,53391,66159
17085,2410,53593,65942
17085,2354,54000,66370
17085,2369,53955,66048
17085,2445,54282,67366
17085,2337,53443,66100
17085,2422,53580,66415
17085,2375,53432,65752
16846,2306,54346,65970
16846,2376,54627,67256
16846,2390,54336,67886
16846,2353,53594,65418
16846,2311,54105,66654
16846,2379,53817,66393
16846,2486,52795,65788
16846,2429,53468,65907
16846,2365,54207,66503
16846,2338,54884,67163
16846,2212,55526,68256
16846,2221,55887,68664
16846,2202,55453,68132
16846,2179,55389,67839
16846,2142,54990,67213
16846,2315,54492,67049
16846,2279,53091,65265
16846,2177,54367,67333
16846,2281,54754,67435
16846,2257,55513,67782
16846,2260,55418,68390
16846,2056,56838,68962
16846,2083,55540,67974
16846,2226,52177,64323
16846,2308,53679,66088
16846,2366,52628,65890
16846,2111,54956,66416
16846,2210,54659,67437
16846,2237,55115,67935
16846,2217,55453,67758
16846,2240,53659,65578
16846,2219,55432,68515
16846,2274,54968,67412
16846,2137,55562,68297
16846,2013,52094,63917
16846,2061,56724,69684
16846,2022,53292,65347
16846,2058,55840,68491
16846,2152,52419,64937
16846,2102,54980,67617
17085,2180,55742,67707
17085,2304,52873,65777
17085,2302,50624,62396
17085,2310,51127,63807
17085,2161,51420,63906
17085,2277,53242,65793
17085,2251,51878,63936
17085,2291,51036,63502
17085,2335,50031,63419
17085,2348,52052,63856
17085,2302,54556,67467
17085,2306,51087,63799
17085,2287,52748,65576
17085,2300,50979,63212
17085,2392,51382,63834
17085,2320,53970,66261
17085,2275,51090,64246
17085,2249,51605,63750
17085,2345,54171,66426
17085,2339,51271,64129
17090,2233,51016,63886
17090,2326,54874,67154
17090,2255,54306,66878
17090,2512,53184,65844
17090,2351,51252,63015
17090,2385,54572,67279
17090,2362,50312,62668
17090,2270,54662,67547
17090,2389,50483,63692
17090,2321,50608,63008
17090,2324,52859,65085
17090,2317,53960,66141
17090,2462,52047,64683
17090,2229,54546,66700
17090,2378,51621,64840
17090,2381,54212,67214
17090,2335,54023,66334
17090,2392,53843,66327
17090,2341,54222,66830
17090,2319,54376,66096
16846,2435,50739,63832
16846,2423,54004,67123
16846,2367,53308,65788
16846,2330,54160,66908
16846,2194,54734,66151
16846,2355,54375,67612
16846,2288,52435,64699
16846,2277,54486,67067
16846,2320,54899,67889
16846,2322,54265,66674
16846,2342,52523,65148
16846,2336,54134,66012
16846,2313,54659,67426
16846,2381,53808,65843
16846,2374,52193,64979
16846,2379,53604,66447
16846,2352,54306,67207
16846,2280,55267,67311
16846,2327,54785,67508
16846,2269,55348,67080
17090,2367,54460,67638
17090,2395,54511,67350
17090,2353,54509,67274
17090,2284,54340,66575
17090,2317,54981,67130
17090,2405,53728,66947
17090,2287,54879,66283
17090,2383,54955,67943
17090,2424,53314,65514
17090,2432,53877,67538
17090,2353,52674,65276
17090,2306,52892,64544
17090,2385,53816,66831
17090,2400,50568,63153
17090,2348,53970,66337
17090,2325,53799,66026
17090,2347,54606,67533
17090,2265,55388,67704
17090,2374,53520,65992
17090,2358,54058,66375
16846,2400,53363,65861
16846,2235,54449,67163
16846,2368,53832,66213
16846,2460,53443,67120
16846,2335,53704,65108
16846,2435,54642,67373
16846,2403,55304,68445
16846,2403,54390,66661
16846,2391,54564,66760
16846,2448,53198,65790
16846,2456,53306,66504
16846,2470,53255,66182
16846,2369,53592,66052
16846,2446,53580,66449
16846,2384,53704,65648
16846,2340,53811,66574
16846,2302,53799,65619
16846,2403,53235,66624
16846,2367,53604,65329
16846,2379,53855,66855
17090,2447,53445,66493
17090,2265,54372,66463
17090,2339,53862,65813
17090,2358,53650,66550
17090,2357,53861,66504
17090,2335,54061,66498
17090,2392,53913,67036
17090,2374,53711,66192
17090,2371,52985,65080
17090,2343,54178,67357
17090,2380,53948,66624
17090,2313,52959,64644
17090,2313,53703,66960
17090,2148,42261,54561
17090,495,4341,15966
17090,500,2771,14561
17090,541,2192,14159
17090,518,2168,13892
17090,513,2170,13837
17118,504,2183,14056
17118,529,2057,13541
17118,518,1922,13655
17118,513,2122,13802
17118,540,2115,14113
17118,519,2131,13831
17118,514,2110,13787
17118,514,2106,13809
17118,513,2109,13774
17118,516,2121,13831
17118,515,2116,13829
17118,513,2122,13797
17118,519,2127,13877
17118,514,2131,14111
17118,540,2116,13820
17118,511,2111,13774
17118,513,2121,13814
17118,519,2132,13855
17118,521,2153,13868
17118,514,2119,13800
16874,516,2133,13866
16874,532,2123,14007
16874,517,2129,13843
16874,514,2080,13767
16874,515,2078,13791
16874,513,2125,13793
16874,518,2105,13833
16874,515,2101,13795
16874,512,2104,13794
16874,541,2109,14084
16874,516,2084,13801
16874,504,2107,13680
16874,521,2097,13882
16874,516,2116,13805
